Nasabah_ID,Jenis_Kel,Tgl_lahir,Jml_Pinjaman,JW,Kolektibilitas,angsuran_ke,Unit
JB.000487,L,12/04/1976,150000000,48,M,24,KONVEN
JB.000812,P,04/01/1976,175000000,48,M,5,KONVEN
JB.000826,L,07/04/1981,150000000,48,M,16,KONVEN
JB.000843,L,09/11/1978,105000000,48,PK,19,KONVEN
JB.000861,L,08/02/1983,105000000,48,M,13,KONVEN
JB.000893,P,04/09/1966,101000000,48,L,48,KONVEN
JB.000926,L,12/03/1988,500000000,60,M,10,KONVEN
JB.000547,P,10/09/1975,140000000,36,M,29,KONVEN
JB.000872,P,31/12/1972,57900000,24,L,21,KONVEN
JB.000800,P,25/03/1974,25400000,32,L,19,KONVEN
JB.000902,L,15/01/1967,12930000,24,L,16,KONVEN
JB.000567,P,02/09/1958,18000000,17,L,6,KONVEN
JB.000936,L,11/11/1959,23000000,18,L,1,KONVEN
JB.000580,L,31/03/1982,86000000,19,L,13,KONVEN
JB.000727,P,22/12/1957,36500000,30,L,11,KONVEN
JB.000809,L,10/10/1978,109300000,44,L,12,KONVEN
JB.000624,P,21/08/1983,136800000,37,L,11,KONVEN
JB.000841,P,14/04/1979,117600000,47,L,11,KONVEN
JB.000746,L,04/05/1970,58600000,30,L,10,KONVEN
JB.000922,L,12/07/1968,98100000,30,L,10,KONVEN
JB.000214,P,27/05/1973,329600000,30,L,10,KONVEN
JB.000754,L,21/03/1980,55400000,30,L,10,KONVEN
JB.000755,P,29/10/1973,46800000,36,L,10,KONVEN
JB.000734,L,31/05/1979,116700000,42,L,8,KONVEN
JB.000909,L,25/08/1978,40800000,12,L,7,KONVEN
JB.000912,P,08/08/1972,41000000,12,L,7,KONVEN
JB.000311,L,04/02/1968,104000000,24,L,6,KONVEN
JB.000896,P,25/10/1974,31700000,12,L,5,KONVEN
JB.000887,L,14/04/1984,37300000,10,L,6,KONVEN
JB.000874,P,16/08/1969,51600000,18,L,6,KONVEN
JB.000930,L,09/04/1981,216800000,36,L,6,KONVEN
JB.000343,L,09/11/1968,15500000,10,PK,3,KONVEN
JB.000704,P,18/01/1978,17500000,12,PK,3,KONVEN
JB.000806,L,11/11/1963,86000000,22,L,6,KONVEN
JB.000509,P,01/01/1979,26600000,12,L,5,KONVEN
JB.000743,L,03/01/1959,92200000,27,L,6,KONVEN
JB.000943,L,19/09/1968,112200000,30,L,6,KONVEN
JB.000845,P,17/03/1975,102100000,36,L,6,KONVEN
JB.000895,L,21/06/1970,22500000,14,L,6,KONVEN
JB.000728,L,25/06/1986,36900000,15,L,6,KONVEN
JB.000865,L,30/11/1979,136500000,20,L,6,KONVEN
JB.000869,L,11/04/1983,158000000,35,L,6,KONVEN
JB.000783,P,15/10/1967,120000000,15,L,6,KONVEN
JB.000925,P,16/02/1969,36700000,22,L,5,KONVEN
JB.000645,P,31/12/1961,118500000,30,L,6,KONVEN
JB.000599,P,21/05/1976,241000000,24,L,6,KONVEN
JB.000946,L,14/03/1968,271000000,40,L,6,KONVEN
JB.000799,L,10/04/1962,230500000,22,L,6,KONVEN
JB.000875,P,31/12/1969,123500000,16,L,6,KONVEN
JB.000883,L,23/03/1988,163200000,36,L,5,KONVEN
JB.000913,L,01/07/1976,37000000,19,L,5,KONVEN
JB.000739,P,20/10/1983,76700000,18,L,5,KONVEN
JB.000885,L,07/07/1966,75000000,15,L,5,KONVEN
JB.000633,P,01/05/1963,88200000,24,L,5,KONVEN
JB.000825,L,05/10/1966,25900000,30,L,5,KONVEN
JB.000891,P,31/10/1990,34800000,17,L,5,KONVEN
JB.000951,P,22/08/1982,88000000,20,L,5,KONVEN
JB.000900,P,07/06/1975,15200000,12,L,4,KONVEN
JB.000855,L,26/07/1985,22000000,12,L,5,KONVEN
JB.000945,P,09/02/1976,276000000,34,L,4,KONVEN
JB.000775,P,20/04/1981,46000000,43,L,4,KONVEN
JB.000597,L,19/12/1982,44000000,24,L,5,KONVEN
JB.000818,P,07/12/1988,36900000,27,L,5,KONVEN
JB.000844,P,25/04/1982,50700000,36,L,4,KONVEN
JB.000691,P,31/12/1982,29700000,15,L,4,KONVEN
JB.000856,P,02/09/1975,110000000,30,L,2,KONVEN
JB.000831,P,09/09/1970,109000000,24,PK,1,KONVEN
JB.000901,L,05/10/1973,52400000,18,L,2,KONVEN
JB.000692,L,12/01/1976,99400000,36,L,2,KONVEN
JB.000537,L,24/08/1981,77600000,36,L,2,KONVEN
JB.000683,L,12/09/1984,87000000,18,L,1,KONVEN
JC.000379,P,08/12/1954,50000000,24,M,25,SYARIAH
